channel,video,tesla,ev,electric,battery,looks,time,charging,range,price,use
Bjorn Nyland,7,0,0,0,1,0,2,0,0,0,0
Bjorn Nyland,8,0,0,0,1,0,0,0,0,0,0
Bjorn Nyland,9,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,10,0,0,0,1,0,0,0,0,0,0
Bjorn Nyland,11,0,0,0,-2,0,0,0,0,0,0
Bjorn Nyland,12,0,0,0,0,0,-1,0,0,0,0
Bjorn Nyland,13,1,0,1,0,0,0,0,0,0,0
Bjorn Nyland,14,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,15,0,0,0,0,0,1,0,0,1,0
Bjorn Nyland,16,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,17,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,18,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,19,0,0,1,0,0,0,0,0,0,0
Bjorn Nyland,20,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,21,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,22,0,0,0,-3,0,0,0,0,1,0
Bjorn Nyland,23,0,0,0,0,0,0,0,0,0,0
Bjorn Nyland,24,0,0,0,-3,0,0,0,0,0,0
Bjorn Nyland,25,0,0,0,1,0,0,0,0,0,0
Bjorn Nyland,26,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,1,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,2,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,3,-1,0,0,-2,0,0,0,0,0,1
Electric Vehicle Man,4,0,0,0,0,0,1,0,0,0,0
Electric Vehicle Man,5,4,0,0,-5,0,2,0,1,0,0
Electric Vehicle Man,6,1,0,0,0,0,-1,0,0,0,1
Electric Vehicle Man,7,-1,0,0,2,0,0,0,0,0,1
Electric Vehicle Man,8,2,-1,0,0,0,1,0,0,0,-1
Electric Vehicle Man,9,2,0,-1,9,0,1,0,0,0,0
Electric Vehicle Man,10,1,0,0,0,0,0,0,0,0,1
Electric Vehicle Man,11,2,3,3,-2,0,2,-1,0,0,1
Electric Vehicle Man,12,0,0,-1,2,0,0,0,0,1,0
Electric Vehicle Man,13,1,0,0,1,0,0,0,0,0,0
Electric Vehicle Man,14,0,0,0,-1,0,1,0,0,2,0
Electric Vehicle Man,15,0,0,0,0,0,0,0,1,1,0
Electric Vehicle Man,16,1,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,17,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,18,0,0,0,0,0,0,0,1,0,2
Electric Vehicle Man,19,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,20,0,0,-1,0,0,0,0,0,0,1
Electric Vehicle Man,21,-1,0,-1,10,0,1,0,-2,0,2
Electric Vehicle Man,22,1,0,1,3,0,0,0,0,1,1
Electric Vehicle Man,23,0,1,1,1,0,1,1,1,0,3
Electric Vehicle Man,24,0,0,0,-1,0,0,0,2,1,0
Electric Vehicle Man,25,1,3,0,0,0,0,0,-1,1,0
Electric Vehicle Man,26,-1,0,1,0,0,1,0,1,2,-1
Electric Vehicle Man,27,1,0,0,1,0,0,0,0,0,0
Electric Vehicle Man,28,0,0,0,0,0,-1,0,0,0,2
Electric Vehicle Man,29,3,-1,1,3,0,3,0,1,0,0
Electric Vehicle Man,30,0,0,1,0,0,0,0,0,0,0
Electric Vehicle Man,31,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,32,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,33,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,34,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,35,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,36,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,37,0,0,0,0,0,0,0,0,0,0
Now You Know,1,0,0,0,1,0,1,0,0,1,1
Now You Know,2,37,3,0,4,0,10,1,1,-1,-2
Now You Know,3,5,0,1,2,0,1,0,4,0,-1
Now You Know,4,-1,0,0,1,0,1,0,0,1,0
Now You Know,5,0,0,0,1,0,1,0,1,0,2
Now You Know,6,0,0,0,0,0,0,0,0,0,0
Now You Know,7,2,0,0,0,0,0,0,0,0,0
Now You Know,8,-1,0,0,0,0,0,0,0,0,0
Now You Know,9,0,0,0,0,0,0,0,0,0,0
Now You Know,10,0,0,0,0,0,0,0,0,0,1
Now You Know,11,0,0,0,0,0,-1,0,0,0,0
Now You Know,12,-1,0,0,0,0,-1,0,-1,0,0
Now You Know,13,0,0,0,0,0,0,0,0,0,0
Now You Know,14,0,0,0,0,0,0,0,0,0,0
Now You Know,15,0,0,0,0,0,0,0,0,0,-1
Now You Know,16,1,0,1,1,1,-5,0,0,0,-1
Now You Know,17,2,0,-2,-1,2,-1,1,0,1,0
Now You Know,18,1,0,0,0,0,1,0,0,0,1
Now You Know,19,1,0,3,-1,0,4,0,0,0,1
Now You Know,20,0,0,0,0,0,0,0,0,0,0
Now You Know,21,0,0,1,1,0,2,0,0,0,0
Now You Know,22,2,0,1,0,0,0,0,0,0,2
Now You Know,23,2,0,0,1,0,4,0,0,0,-1
Now You Know,24,14,3,2,-2,-1,4,0,0,-1,0
Now You Know,25,4,0,0,0,-1,0,0,0,-1,0
Now You Know,26,0,0,0,0,0,0,0,1,0,0
Now You Know,27,19,-1,-1,1,0,1,0,0,0,0
Now You Know,28,3,0,0,0,0,-1,0,0,0,0
Now You Know,29,0,0,0,0,0,0,0,0,0,0
Now You Know,30,4,0,0,0,0,0,0,0,0,0
Now You Know,31,0,0,0,0,0,0,0,0,0,0
Now You Know,32,-1,0,0,0,0,-2,0,0,0,0
Now You Know,33,1,0,0,0,0,1,0,0,0,0
Now You Know,34,2,0,0,0,0,-2,0,0,0,0
Now You Know,35,2,0,0,0,0,2,0,0,0,1
Now You Know,36,2,0,0,0,0,2,0,0,0,1
Now You Know,37,-2,0,0,0,0,0,0,0,0,1
Now You Know,38,0,0,0,0,0,0,0,0,0,0
Now You Know,39,1,0,0,0,0,1,0,0,0,1
Now You Know,40,0,0,0,0,0,1,0,1,0,0
Now You Know,41,0,0,0,0,0,0,0,0,0,0
Now You Know,42,1,0,0,0,0,0,0,0,0,0
Now You Know,43,-3,0,0,0,0,0,0,0,0,0
Now You Know,44,1,0,0,0,0,0,0,0,0,0
Now You Know,45,-1,0,0,0,0,1,0,0,0,0
Now You Know,46,4,0,-1,-1,-2,0,0,0,0,-1
Now You Know,47,14,0,-1,0,0,1,0,0,-1,-1
Now You Know,48,0,0,0,0,0,0,0,0,0,0
Now You Know,49,1,0,0,0,0,0,0,0,0,0
Now You Know,50,0,0,0,0,0,0,0,0,0,0
Now You Know,51,2,0,0,0,0,0,0,0,1,0
Now You Know,52,0,0,0,0,0,-1,0,0,0,0
Now You Know,53,9,0,0,0,0,0,0,0,0,0
Now You Know,54,1,0,0,0,0,0,0,0,0,1
Now You Know,55,1,0,0,0,0,1,0,0,0,0
Now You Know,56,2,0,0,0,0,2,0,0,0,0
E for Electric,1,-1,0,0,0,0,0,0,0,0,0
E for Electric,2,-1,1,0,0,0,0,0,0,0,0
E for Electric,3,2,0,0,0,0,0,0,0,0,0
E for Electric,4,3,0,0,0,0,0,0,1,0,0
E for Electric,5,-1,0,0,0,0,0,0,0,0,0
E for Electric,6,0,0,0,0,0,0,0,0,1,0
E for Electric,7,-2,0,0,0,0,1,0,0,0,0
E for Electric,8,1,1,0,0,0,0,0,0,0,1
E for Electric,9,0,0,0,0,0,0,0,0,0,0
E for Electric,10,-4,0,0,0,0,0,0,0,0,0
E for Electric,11,1,0,0,-1,0,0,0,0,1,0
E for Electric,12,-6,0,0,0,0,0,0,3,0,-1
E for Electric,13,-1,0,0,1,0,1,0,3,2,0
E for Electric,14,38,2,0,0,0,2,0,0,0,-2
E for Electric,15,6,0,0,0,0,-2,0,0,0,1
E for Electric,16,7,0,0,0,0,-3,0,1,1,0
E for Electric,17,8,0,-1,0,1,3,0,1,3,-1
E for Electric,18,-5,0,0,0,0,1,0,0,0,-1
E for Electric,19,4,0,1,-1,-1,3,0,0,0,0
E for Electric,20,3,1,2,0,0,2,0,1,0,1
E for Electric,21,0,0,0,-1,0,0,0,0,0,0
E for Electric,22,28,0,1,0,0,-1,1,-1,1,2
E for Electric,23,0,0,0,0,0,0,0,0,0,0
E for Electric,24,1,1,1,0,0,4,0,-1,0,1
E for Electric,25,0,0,0,0,0,0,0,0,0,0
E for Electric,26,0,0,0,0,0,1,0,0,0,0
E for Electric,27,0,0,-1,0,0,0,0,0,0,0
